feature,value
0,patient
1,blood
2,left
3,histori
4,medic
5,right
6,pain
7,pm
8,pt
9,follow
10,normal
11,neg
12,ct
13,continu
14,hospit
15,hour
16,chest
17,present
18,pleas
19,week
20,start
21,dr
22,unit
23,well
24,refil
25,home
26,capsul
27,need
28,disp
29,statu
30,arteri
31,also
32,time
33,stabl
34,everi
35,note
36,given
37,cours
38,transfer
39,care
40,releas
41,diseas
42,dai
43,bilater
44,seen
45,chang
46,hct
47,instruct
48,showe
49,valv
50,aortic
51,prior
52,wbc
53,take
54,post
55,increas
56,year
57,glucos
58,past
59,acut
60,per
61,call
62,cardiac
63,mild
64,inr
65,exam
66,pressur
67,place
68,heart
69,pulmonari
70,hr
71,plt
72,physic
73,without
74,like
75,improv
76,clear
77,lung
78,bid
79,sever
80,ventricular
81,initi
82,hi
83,edema
84,iv
85,dose
86,rbc
87,fluid
88,procedur
89,remain
90,surgeri
91,thi
92,admit
93,delai
94,extrem
95,urin
96,hgb
97,report
98,famili
99,condit
100,cultur
101,surgic
102,tube
103,deni
104,hypertens
105,result
106,evid
107,fever
108,due
109,effus
110,us
111,mcv
112,creat
113,breath
114,rdw
115,small
116,appoint
117,mch
118,renal
119,mchc
120,appear
121,prn
122,lower
123,coronari
124,chronic
125,mitral
126,diagnosi
127,evalu
128,non
129,cm
130,na
131,complet
132,systol
133,aspirin
134,recent
135,requir
136,sodium
137,soft
138,rate
139,ill
140,moder
141,elev
142,head
143,found
144,receiv
145,abdomin
146,intact
147,cl
148,failur
149,atrial
150,level
151,social
152,studi
153,clinic
154,mai
155,infect
156,posit
157,floor
158,calcium
159,wall
160,old
161,bowel
162,concern
163,abdomen
164,complaint
165,secondari
166,urean
167,bp
168,hco
169,low
170,ed
171,neck
172,followup
173,reveal
174,function
175,ck
176,recommend
177,treat
178,size
179,mcg
180,fractur
181,howev
182,intub
183,remov
184,drug
185,within
186,decreas
187,discharg
188,insulin
189,consult
190,short
191,respiratori
192,activ
193,stenosi
194,primari
195,angap
196,attend
197,new
198,lab
199,back
200,pneumonia
201,control
202,coumadin
203,impress
204,twice
205,ne
206,disposit
207,major
208,mass
209,invas
210,mm
211,metoprolol
212,oper
213,tid
214,regurgit
215,regular
216,brief
217,gener
218,examin
219,mental
220,good
221,mildli
222,last
223,postop
224,toler
225,chief
226,facil
227,known
228,ptt
229,total
230,perform
231,signific
232,pertin
233,upper
234,pleural
235,symptom
236,lasix
237,heparin
238,monitor
239,alert
240,find
241,count
242,multipl
243,mr
244,cxr
245,rhythm
246,work
247,line
248,leaflet
249,final
250,outpati
251,develop
252,sign
253,incis
254,puls
255,antibiot
256,includ
257,md
258,diabet
259,sinu
260,bleed
261,month
262,room
263,lesion
264,dilat
265,consist
266,therapi
267,stent
268,extend
269,mouth
270,baselin
271,cell
272,side
273,base
274,sinc
275,set
276,icu
277,live
278,episod
279,underw
280,contrast
281,imag
282,heent
283,inhal
284,possibl
285,none
286,throughout
287,placem
288,provid
289,lobe
290,nausea
291,liver
292,hypotens
293,wound
294,hemorrhag
295,tender
296,potassium
297,alcohol
298,pho
299,felt
300,graft
301,manag
302,repeat
303,free
304,larg
305,thicken
306,fibril
307,stop
308,test
309,vomit
310,see
311,vancomycin
312,vein
313,diet
314,aorta
315,abd
316,htn
317,later
318,air
319,typ
320,seizur
321,neuro
322,qd
323,vital
324,depress
325,discontinu
326,return
327,stool
328,area
329,sound
330,pcp
331,orient
332,ago
333,hematocrit
334,solut
335,ra
336,check
337,current
338,tablet
339,abnorm
340,dry
341,anterior
342,lisinopril
343,lad
344,resolv
345,phone
346,carotid
347,sat
348,schedul
349,full
350,skin
351,chlorid
352,v
353,mb
354,creatinin
355,ast
356,constip
357,alt
358,infarct
359,extub
360,limit
361,demonstr
362,complic
363,lymph
364,cough
365,high
366,rehab
367,weight
368,gi
369,ble
370,gram
371,scan
372,wheez
373,etoh
374,emerg
375,anemia
376,drainag
377,cad
378,suggest
379,echo
380,murmur
381,cathet
382,obtain
383,acetaminophen
384,offic
385,cancer
386,sustain
387,oral
388,restart
389,worsen
390,abl
391,pericardi
392,bypass
393,question
394,oxygen
395,held
396,rr
397,treatment
398,taken
399,catheter
400,ext
401,morn
402,done
403,white
404,site
405,wean
406,distal
407,atrium
408,drop
409,leg
410,neurolog
411,unchang
412,red
413,made
414,ulcer
415,distress
416,ventricl
417,caus
418,stai
419,addit
420,albuterol
421,hematoma
422,doctor
423,weak
424,record
425,micu
426,diffus
427,docus
428,state
429,obstruct
430,region
431,mri
432,smoke
433,suppl
434,aspir
435,previou
436,movem
437,ekg
438,upon
439,diarrhea
440,osh
441,pod
442,motion
443,drip
444,ag
445,subsequ
446,male
447,mid
448,warm
449,intraven
450,hd
451,ctropnt
452,discuss
453,femor
454,kidnei
455,ey
456,drain
457,review
458,strength
459,greater
460,thought
461,physician
462,vessel
463,focal
464,scale
465,arriv
466,maintain
467,ph
468,chill
469,depart
470,cv
471,diagnos
472,cta
473,op
474,intens
475,chf
476,cath
477,vascular
478,caviti
479,lactat
480,posterior
481,prednison
482,otherwis
483,system
484,approxim
485,plan
486,hemodynam
487,st
488,hepat
489,prescrib
490,tab
491,vitamin
492,regimen
493,headach
494,rrr
495,make
496,sent
497,tobacco
498,congest
499,cc
500,inject
501,issu
502,direct
503,ambul
504,relat
505,drink
506,mono
507,afebril
508,co
509,asa
510,transfus
511,difficulti
512,spine
513,minim
514,next
515,h
516,appropri
517,dictat
518,feel
519,patch
520,atelectasi
521,replac
522,nad
523,ii
524,persist
525,subcutan
526,loss
527,oxycodon
528,slide
529,volum
530,cpk
531,descend
532,dm
533,close
534,eo
535,assess
536,night
537,bed
538,amiodaron
539,onc
540,chewabl
541,tissu
542,trace
543,repair
544,femal
545,yo
546,folei
547,symmetr
548,get
549,levofloxacin
550,copd
551,nurs
552,compar
553,neut
554,fall
555,ef
556,baso
557,amount
558,tachycardia
559,indic
560,go
561,arm
562,rai
563,assist
564,measur
565,m
566,gen
567,unabl
568,plavix
569,first
570,associ
571,although
572,contact
573,colon
574,stroke
575,proxim
576,puff
577,interv
578,lvef
579,progress
580,dyspnea
581,doppler
582,sulfat
583,goal
584,mi
585,totbili
586,acid
587,identifi
588,brain
589,injuri
590,sob
591,cabg
592,alkpho
593,minut
594,perfus
595,midlin
596,sedat
597,extens
598,opac
599,pack
600,repres
601,sbp
602,intern
603,sourc
604,poor
605,dp
606,distend
607,bruit
608,rash
609,effect
610,structur
611,abov
612,flow
613,quit
614,laboratori
615,mother
616,ultrasound
617,unremark
618,slightli
619,visual
620,wife
621,temperatur
622,confus
623,swell
624,biopsi
625,open
626,color
627,hcl
628,b
629,risk
630,less
631,eomi
632,number
633,light
634,gap
635,tartrat
636,picc
637,pend
638,swallow
639,warfarin
640,rest
641,inferior
642,anicter
643,move
644,abus
645,venou
646,output
647,infecti
648,intervent
649,aneurysm
650,show
651,thorac
652,growth
653,wave
654,urinari
655,process
656,platelet
657,satur
658,frontal
659,pneumothorax
660,pupil
661,even
662,pelvi
663,peripher
664,etiologi
665,qh
666,job
667,bodi
668,hyperlipidemia
669,hold
670,help
671,iron
672,senna
673,urea
674,nc
675,code
676,rub
677,pancreat
678,beta
679,involv
680,keep
681,sputum
682,respons
683,becam
684,thick
685,steroid
686,knee
687,still
688,previous
689,conscious
690,furosemid
691,drive
692,daughter
693,obes
694,magnesium
695,reason
696,flagyl
697,rapid
698,anion
699,pantoprazol
700,cardiologi
701,nd
702,nt
703,transit
704,tylenol
705,anxieti
706,medquist
707,atorvastatin
708,team
709,gtt
710,neurologi
711,locat
712,lift
713,cervic
714,speech
715,qid
716,erythema
717,occasion
718,father
719,comfort
720,sensat
721,albumin
722,transplant
723,med
724,todai
725,anticoagul
726,central
727,build
728,resect
729,around
730,end
731,sclera
732,overal
733,lopressor
734,heal
735,diastol
736,rehabilit
737,sensit
738,di
739,nl
740,rang
741,support
742,best
743,enlarg
744,refer
745,consid
746,surgeon
747,dysfunct
748,egd
749,interact
750,ascend
751,rca
752,center
753,chamber
754,defect
755,ldh
756,liquid
757,myocardi
758,sleep
759,hip
760,radiat
761,hx
762,echocardiogram
763,nasal
764,simvastatin
765,recurr
766,perrl
767,attempt
768,lead
769,cr
770,trauma
771,dvt
772,pe
773,complain
774,colac
775,collect
776,unclear
777,mellitu
778,son
779,though
780,patent
781,eject
782,field
783,hernia
784,grossli
785,pre
786,nontend
787,auscult
788,sepsi
789,bone
790,walk
791,shower
792,went
793,crackl
794,septal
795,intermitt
796,narcot
797,reactiv
798,pco
799,man
800,ventil
801,fe
802,uti
803,intak
804,detail
805,bun
806,segment
807,pound
808,immedi
809,muscl
810,morphin
811,cyanosi
812,tip
813,woman
814,cardiologist
815,afib
816,diuresi
817,embol
818,syndrom
819,facial
820,tricuspid
821,problem
822,dress
823,liter
824,outsid
825,protonix
826,advanc
827,point
828,notabl
829,fraction
830,global
831,event
832,abscess
833,consolid
834,rectal
835,second
836,grade
837,awak
838,ac
839,rel
840,lipitor
841,ceftriaxon
842,rule
843,peak
844,motor
845,aerosol
846,band
847,began
848,mmm
849,clot
850,ld
851,equal
852,dure
853,hypokinesi
854,protein
855,command
856,long
857,bladder
858,dialysi
859,atenolol
860,ativan
861,trend
862,infiltr
863,hypothyroid
864,blocker
865,resum
866,person
867,exert
868,experi
869,multivitamin
870,brought
871,exclud
872,resp
873,stomach
874,nebul
875,regard
876,pace
877,actuat
878,ambulatori
879,zosyn
880,ischemia
881,levothyroxin
882,re
883,bedtim
884,along
885,thrombu
886,ha
887,hypertrophi
888,ca
889,vna
890,amylas
891,agit
892,nodul
893,omeprazol
894,earli
895,devic
896,spontan
897,lipas
898,ischem
899,prophylaxi
900,hand
901,stage
902,le
903,taper
904,prbc
905,neb
906,depend
907,therefor
908,meal
909,sugar
910,flush
911,intracrani
912,foot
913,cap
914,ap
915,powder
916,via
917,x
918,ivf
919,cardiothorac
920,airwai
921,mrsa
922,park
923,fill
924,respond
925,jvp
926,tte
927,pna
928,dizzi
929,asthma
930,gallop
931,ciprofloxacin
932,order
933,clean
934,troponin
935,campu
936,lb
937,confirm
938,cirrhosi
939,disord
940,independ
941,diures
942,colonoscopi
943,partial
944,radiologi
945,sternal
946,sc
947,groin
948,lv
949,unknown
950,comparison
951,avoid
952,coher
953,percocet
954,describ
955,deep
956,mondai
957,sust
958,withdraw
959,compress
960,hypercholesterolemia
961,appar
962,neurosurgeri
963,difficult
964,ascit
965,calcif
966,probabl
967,ipratropium
968,enzym
969,toe
970,esophag
971,digoxin
972,insuffici
973,visit
974,titrat
975,overload
976,palpit
977,svg
978,nutrit
979,th
980,residu
981,mmhg
982,degre
983,stress
984,iii
985,wire
986,tract
987,om
988,complex
989,stabil
990,node
991,shift
992,onset
993,appreci
994,screen
995,eat
996,subdur
997,art
998,exacerb
999,pa
1000,cream
1001,xii
1002,penicillin
1003,overnight
1004,diltiazem
1005,yeast
1006,tr
1007,gerd
1008,better
1009,bilirubin
1010,common
1011,dilantin
1012,thei
1013,adequ
1014,cardiovascular
1015,jvd
1016,product
1017,data
1018,folic
1019,anti
1020,tumor
1021,topic
1022,aggress
1023,servic
1024,adjust
1025,dissect
1026,suspens
1027,ng
1028,occlus
1029,determin
1030,club
1031,cerebr
1032,oropharynx
1033,keton
1034,lymphadenopathi
1035,trivial
1036,health
1037,lft
1038,origin
1039,lovenox
1040,eventu
1041,mediastin
1042,diff
1043,trach
1044,breast
1045,portabl
1046,decid
1047,main
1048,id
1049,simpl
1050,reaction
1051,radial
1052,inpati
1053,thrombosi
1054,finger
1055,period
1056,prostat
1057,ccu
1058,hypoxia
1059,enhanc
1060,amlodipin
1061,garag
1062,block
1063,ctab
1064,cn
1065,nitroglycerin
1066,anoth
1067,saphen
1068,irregular
1069,promin
1070,slight
1071,n
1072,nitrit
1073,pacemak
1074,name
1075,usual
1076,nondistend
1077,ad
1078,view
1079,husband
1080,tracheostomi
1081,temp
1082,frequent
1083,stain
1084,electrolyt
1085,metastat
1086,mechan
1087,pulm
1088,switch
1089,guard
1090,hemodialysi
1091,workup
1092,round
1093,cx
1094,leuk
1095,spinal
1096,nerv
1097,gradient
1098,tsh
1099,pressor
1100,similar
1101,branch
1102,cva
1103,gait
1104,much
1105,prevent
1106,rebound
1107,metformin
1108,min
1109,scar
1110,resist
1111,alter
1112,biliari
1113,margin
1114,er
1115,brother
1116,sister
1117,water
1118,came
1119,joint
1120,bath
1121,inform
1122,underli
1123,syncop
1124,ecg
1125,bisacodyl
1126,hous
1127,phosphat
1128,possibli
1129,middl
1130,gallbladd
1131,list
1132,duct
1133,illicit
1134,slowli
1135,peg
1136,children
1137,access
1138,tee
1139,cefepim
1140,never
1141,malign
1142,pump
1143,fatigu
1144,reflex
1145,tempor
1146,ankl
1147,basal
1148,grew
1149,qam
1150,bromid
1151,routin
1152,mucou
1153,wa
1154,summari
1155,organ
1156,pmh
1157,radiograph
1158,space
1159,pass
1160,bacteremia
1161,leukocytosi
1162,ani
1163,heavi
1164,preserv
1165,arch
1166,cover
1167,gastrointestin
1168,cyst
1169,palpat
1170,bronchoscopi
1171,dilaudid
1172,apic
1173,eeg
1174,throat
1175,portal
1176,differenti
1177,despit
1178,stand
1179,benign
1180,speak
1181,presum
1182,fluticason
1183,affect
1184,vertebr
1185,rib
1186,membran
1187,sp
1188,stapl
1189,bactrim
1190,intra
1191,commun
1192,rv
1193,shoulder
1194,gastric
1195,gabapentin
1196,food
1197,preoper
1198,fridai
1199,icd
1200,stone
1201,syring
1202,ercp
1203,bili
1204,face
1205,ointment
1206,least
1207,answer
1208,rale
1209,give
1210,dementia
1211,experienc
1212,porcin
1213,look
1214,atyp
1215,diamet
1216,epi
1217,singl
1218,prolong
1219,alon
1220,resolut
1221,wash
1222,bibasilar
1223,cardiomyopathi
1224,u
1225,lactulos
1226,appl
1227,lotion
1228,secret
1229,retir
1230,atheroma
1231,lorazepam
1232,yellow
1233,success
1234,tongu
1235,varic
1236,come
1237,yr
1238,carbon
1239,touch
1240,cord
1241,part
1242,kept
1243,kg
1244,arrang
1245,salin
1246,bipap
1247,fistula
1248,vanco
1249,shock
1250,carcinoma
1251,rhonchi
1252,unless
1253,xl
1254,protocol
1255,bradycardia
1256,ibuprofen
1257,recoveri
1258,bottl
1259,ga
1260,recon
1261,dysuria
1262,viral
1263,ground
1264,except
1265,marri
1266,pull
1267,vision
1268,comment
1269,import
1270,discomfort
1271,load
1272,nose
1273,percutan
1274,cp
1275,feed
1276,tachycard
1277,encephalopathi
1278,definit
1279,therapeut
1280,qualiti
1281,exercis
1282,gm
1283,nph
1284,cranial
1285,wednesdai
1286,angiographi
1287,pathologi
1288,revers
1289,portion
1290,hear
1291,slow
1292,reduc
1293,alk
1294,tone
1295,empir
1296,thyroid
1297,thin
1298,veget
1299,mark
1300,deficit
1301,specif
1302,lumbar
1303,clopidogrel
1304,tremor
1305,palpabl
1306,serial
1307,hiv
1308,coliti
1309,becom
1310,numb
1311,wors
1312,dissolv
1313,contributori
1314,cocain
1315,leak
1316,address
1317,third
1318,telemetri
1319,bacteria
1320,restrict
1321,decis
1322,deform
1323,pelvic
1324,esophagu
1325,meropenem
1326,observ
1327,ferrou
1328,sprai
1329,statin
1330,somewhat
1331,vent
1332,sublingu
1333,correl
1334,levaquin
1335,east
1336,esrd
1337,thursdai
1338,tuesdai
1339,superior
1340,ppd
1341,npo
1342,gout
1343,significantli
1344,addendum
1345,put
1346,infus
1347,balloon
1348,narrow
1349,cipro
1350,mobil
1351,estim
1352,soln
1353,hsm
1354,toprol
1355,swim
1356,cbc
1357,mucosa
1358,successfulli
1359,staph
1360,av
1361,resuscit
1362,coli
1363,ua
1364,drawn
1365,axi
1366,gradual
1367,inhibitor
1368,lantu
1369,quadrant
1370,em
1371,avail
1372,crystal
1373,hematologi
1374,surround
1375,mani
1376,guaiac
1377,notic
1378,black
1379,bacteri
1380,humalog
1381,hg
1382,factor
1383,succin
1384,ranitidin
1385,longer
1386,vanc
1387,aid
1388,lcx
1389,sutur
1390,vi
1391,paroxysm
1392,lightheaded
1393,gu
1394,ppi
1395,asymptomat
1396,isol
1397,disk
1398,subarachnoid
1399,adren
1400,orthoped
1401,rare
1402,jugular
1403,endoscopi
1404,occur
1405,dehydr
1406,fail
1407,gentli
1408,refus
1409,subclavian
1410,weekli
1411,near
1412,oncologi
1413,degen
1414,ear
1415,cholecystectomi
1416,lacer
1417,protect
1418,defer
1419,ophthalm
1420,frequenc
1421,hydralazin
1422,coag
1423,angiogram
1424,term
1425,seem
1426,folat
1427,inflammatori
1428,appli
1429,particl
1430,spike
1431,septum
1432,fentanyl
1433,abg
1434,gain
1435,replet
1436,collar
1437,prolaps
1438,aureu
1439,request
1440,mean
1441,read
1442,cd
1443,pleasant
1444,anesthesia
1445,sinus
1446,melena
1447,organomegali
1448,local
1449,arrest
1450,borderlin
1451,hydrat
1452,pariet
1453,bilat
1454,bile
1455,interpret
1456,staff
1457,apex
1458,propofol
1459,chemotherapi
1460,unrespons
1461,transient
1462,versu
1463,tot
1464,remaind
1465,difficil
1466,pr
1467,ultim
1468,occipit
1469,thiamin
1470,weigh
1471,ampicillin
1472,cellul
1473,sudden
1474,suppositori
1475,conclus
1476,allow
1477,sure
1478,biventricular
1479,bicarbon
1480,adjac
1481,fulli
1482,epidur
1483,advis
1484,caltco
1485,occlud
1486,extraocular
1487,apnea
1488,ruq
1489,dl
1490,perrla
1491,mask
1492,psychiatri
1493,suboptim
1494,ethanol
1495,ly
1496,septic
1497,west
1498,electrocardiogram
1499,thrombocytopenia
1500,collaps
1501,yesterdai
1502,hydrochlorothiazid
1503,reportedli
1504,sulfa
1505,keppra
1506,futur
1507,express
1508,addition
1509,densiti
1510,cpap
1511,fib
1512,lima
1513,elect
1514,tpn
1515,correct
1516,fio
1517,trazodon
1518,human
1519,advers
1520,walker
1521,glargin
1522,coverag
1523,bolu
1524,neuropathi
1525,metabol
1526,cycl
1527,orthopnea
1528,cannula
1529,sgot
1530,sgpt
1531,hypodens
1532,emesi
1533,qdai
1534,poplit
1535,preliminari
1536,serum
1537,lidocain
1538,potenti
1539,smoker
1540,hyponatremia
1541,arthriti
1542,rx
1543,convert
1544,cardiomegali
1545,allopurinol
1546,beat
1547,either
1548,junction
1549,bloodi
1550,spironolacton
1551,want
1552,indx
1553,iliac
1554,sit
1555,glass
1556,run
1557,signal
1558,ox
1559,benefit
1560,bolus
1561,nonfoc
1562,onli
1563,film
1564,ongo
1565,chair
1566,sigmoid
1567,defici
1568,duodenum
1569,rectum
1570,bm
1571,markedli
1572,flat
1573,nstemi
1574,csf
1575,adhes
1576,drift
1577,attent
1578,dopamin
1579,avr
1580,appendag
1581,thirti
