feature,value
1582,acidosi
1583,sweat
1584,doe
1585,induc
1586,endotrach
1587,plastic
1588,diuret
1589,half
1590,eval
1591,sicu
1592,pancrea
1593,administ
1594,endocard
1595,febril
1596,thigh
1597,occup
1598,debrid
1599,gentamicin
1600,ablat
1601,peep
1602,sec
1603,reflux
1604,contour
1605,psych
1606,ivc
1607,voic
1608,tight
1609,q
1610,void
1611,self
1612,compon
1613,leav
1614,fat
1615,opacif
1616,hematuria
1617,basilar
1618,contain
1619,hctz
1620,interstiti
1621,medial
1622,cooper
1623,fast
1624,pseudomona
1625,contribut
1626,carvedilol
1627,diverticulosi
1628,percent
1629,ncat
1630,index
1631,hemoptysi
1632,bedsid
1633,ab
1634,levoph
1635,gentleman
1636,qr
1637,ro
1638,pacer
1639,hydromorphon
1640,mra
1641,po
1642,silhouett
1643,distent
1644,supplement
1645,citalopram
1646,moist
1647,toward
1648,notdon
1649,antibodi
1650,azithromycin
1651,suicid
1652,tamponad
1653,dark
1654,nasogastr
1655,administr
1656,thu
1657,pattern
1658,wnl
1659,urobilngn
1660,periton
1661,feet
1662,delirium
1663,trimethoprim
1664,hpi
1665,reliev
1666,extern
1667,attack
1668,toxic
1669,closur
1670,diagnost
1671,pill
1672,rod
1673,materi
1674,ij
1675,urologi
1676,elderli
1677,attribut
1678,tricycl
1679,readi
1680,xrai
1681,polyp
1682,hypox
1683,loop
1684,duoden
1685,nitro
1686,took
1687,clindamycin
1688,extra
1689,suction
1690,packet
1691,lumen
1692,mca
1693,recov
1694,suspect
1695,expect
1696,somnol
1697,mod
1698,cholecyst
1699,lymphoma
1700,appt
1701,haldol
1702,gastriti
1703,chem
1704,strip
1705,captopril
1706,whether
1707,cerebellar
1708,begin
1709,undergo
1710,dyslipidemia
1711,angina
1712,varicos
1713,craniotomi
1714,displac
1715,clonidin
1716,reduct
1717,briefli
1718,abx
1719,transvers
1720,fell
1721,pink
1722,insomnia
1723,filter
1724,neo
1725,entir
1726,root
1727,meta
1728,psychiatr
1729,aspect
1730,earlier
1731,termin
1732,domin
1733,retroperiton
1734,case
1735,somenam
1736,obviou
1737,fluconazol
1738,hospic
1739,ctr
1740,step
1741,fx
1742,enter
1743,ir
1744,physiolog
1745,becaus
1746,dnr
1747,hydronephrosi
1748,sensori
1749,conjunctiva
1750,combin
1751,necessari
1752,sai
1753,disc
1754,pulmon
1755,pnd
1756,staphylococcu
1757,rise
1758,stasi
1759,cataract
1760,emphysema
1761,perfor
1762,qpm
1763,got
1764,declin
1765,famotidin
1766,diagon
1767,myalgia
1768,excess
1769,calf
1770,section
1771,urinalysi
1772,encourag
1773,detect
1774,ask
1775,axial
1776,hilar
1777,coordin
1778,angioplasti
1779,glyburid
1780,loos
1781,matter
1782,fax
1783,myelo
1784,accid
1785,saw
1786,inflamm
1787,insert
1788,obtus
1789,inguin
1790,circumflex
1791,tear
1792,pda
1793,life
1794,labetalol
1795,fen
1796,arf
1797,jaundic
1798,mvi
1799,accessori
1800,ostomi
1801,clip
1802,rvr
1803,arous
1804,osteomyel
1805,phenytoin
1806,overdos
1807,codein
1808,inferolater
1809,excurs
1810,cholesterol
1811,awok
1812,metronidazol
1813,vt
1814,appendectomi
1815,inabl
1816,believ
1817,methadon
1818,tri
1819,isosorbid
1820,fiber
1821,focu
1822,veloc
1823,wear
1824,letharg
1825,quickli
1826,glipizid
1827,superfici
1828,medicin
1829,techniqu
1830,plu
1831,calcifi
1832,pvd
1833,solid
1834,flutter
1835,klebsiella
1836,retent
1837,prematur
1838,shunt
1839,dexamethason
1840,incontin
1841,appetit
1842,marrow
1843,hydrocephalu
1844,stair
1845,cane
1846,hit
1847,pleasur
1848,pat
1849,tibial
1850,svc
1851,anteriorli
1852,contus
1853,sr
1854,lavag
1855,atrov
1856,absenc
1857,convers
1858,prescript
1859,valu
1860,finish
1861,laparotomi
1862,notifi
1863,tramadol
1864,jp
1865,trial
1866,safe
1867,ptca
1868,nrb
1869,compat
1870,mesenter
1871,herniat
1872,ffp
1873,spleen
1874,prilosec
1875,befor
1876,unlik
1877,fusion
1878,tia
1879,pit
1880,bicarb
1881,nystagmu
1882,shake
1883,salmeterol
1884,mammari
1885,former
1886,ar
1887,scatter
1888,nsr
1889,lat
1890,lack
1891,hcv
1892,gastroesophag
1893,piperacillin
1894,dimens
1895,droop
1896,strain
1897,syrup
1898,norvasc
1899,pca
1900,ceftazidim
1901,dni
1902,complianc
1903,presenc
1904,technic
1905,ngt
1906,dysphagia
1907,mood
1908,multifoc
1909,hfa
1910,told
1911,rle
1912,ntnd
1913,bpm
1914,normoact
1915,durat
1916,miconazol
1917,anaerob
1918,foci
1919,osseou
1920,pci
1921,ica
1922,critic
1923,intraop
1924,osteoarthr
1925,dka
1926,amput
1927,group
1928,brbpr
1929,wrist
1930,begun
1931,broad
1932,enterococcu
1933,splenic
1934,rais
1935,ep
1936,height
1937,hematemesi
1938,draw
1939,remot
1940,lansoprazol
1941,diverticul
1942,toxin
1943,nystatin
1944,levetiracetam
1945,faint
1946,antigen
1947,soap
1948,accord
1949,diaphoresi
1950,axillari
1951,colectomi
1952,noncontributori
1953,port
1954,tunnel
1955,exploratori
1956,consider
1957,littl
1958,tingl
1959,hba
1960,essenti
1961,candid
1962,motrin
1963,torso
1964,territori
1965,plaqu
1966,symptomat
1967,deem
1968,bright
1969,reach
1970,smear
1971,vac
1972,akinesi
1973,osteoporosi
1974,transderm
1975,must
1976,lle
1977,artifact
1978,micro
1979,know
1980,cigarett
1981,heme
1982,punctur
1983,hdl
1984,linezolid
1985,vit
1986,pallor
1987,wheelchair
1988,reflect
1989,chemistri
1990,languag
1991,overli
1992,allergi
1993,hypoglycemia
1994,steadi
1995,rom
1996,acquir
1997,valvular
1998,ent
1999,distant
2000,healthi
2001,soften
2002,fluent
2003,suspici
2004,dc
2005,lmca
2006,slowe
2007,zofran
2008,palat
2009,flare
2010,ckd
2011,bnzodzpn
2012,parenchym
2013,specimen
2014,guid
2015,barbitrt
2016,urobiln
2017,bilirub
2018,chol
2019,try
2020,etc
2021,dysarthria
2022,osa
2023,nitrat
2024,heard
2025,gross
2026,advair
2027,bulk
2028,traumat
2029,freeca
2030,impair
2031,dermat
2032,fungal
2033,neurontin
2034,de
2035,stemi
2036,coil
2037,evacu
2038,character
2039,natur
2040,written
2041,might
2042,length
2043,form
2044,opiat
2045,imdur
2046,icteru
2047,trachea
2048,sick
2049,flap
2050,coagul
2051,femur
2052,epigastr
2053,hyperkalemia
2054,gib
2055,bipolar
2056,bph
2057,member
2058,pedi
2059,ensur
2060,mixe
2061,valium
2062,patchi
2063,clonazepam
2064,wedg
2065,lm
2066,flora
2067,interatri
2068,across
2069,hcp
2070,trop
2071,differ
2072,altern
2073,retrocardiac
2074,maxillari
2075,sdh
2076,verbal
2077,awai
2078,urgent
2079,mastoid
2080,chart
2081,met
2082,cardiopulmonari
2083,atherosclerot
2084,cardiovers
2085,pronat
2086,dorsali
2087,absent
2088,cholecalciferol
2089,deviat
2090,emboli
2091,dx
2092,clostridium
2093,xrt
2094,recal
2095,top
2096,sternotomi
2097,erythromycin
2098,ronchi
2099,trf
2100,acyclovir
2101,lp
2102,intraventricular
2103,wide
2104,fixat
2105,mucos
2106,echocardiograph
2107,endors
2108,video
2109,hysterectomi
2110,meet
2111,bridg
2112,talk
2113,resid
2114,endoscop
2115,hiatal
2116,canal
2117,poorli
2118,qtc
2119,cmv
2120,dinner
2121,intraparenchym
2122,mic
2123,supplem
2124,green
2125,af
2126,seroquel
2127,diminish
2128,asdir
2129,hemispher
2130,hydroxid
2131,death
2132,arrhythmia
2133,hep
2134,epinephrin
2135,synthroid
2136,hyperglycemia
2137,docum
2138,desatur
2139,window
2140,afternoon
2141,ppx
2142,ue
2143,relief
2144,cold
2145,temporari
2146,normocephal
2147,think
2148,gland
2149,contract
2150,coffe
2151,friend
2152,enoxaparin
2153,ciwa
2154,respir
2155,precaut
2156,intubat
2157,tini
2158,explain
2159,distribut
2160,caltibc
2161,lethargi
2162,car
2163,urgenc
2164,verapamil
2165,microbiologi
2166,rigid
2167,incid
2168,especi
2169,cefazolin
2170,mention
2171,dear
2172,cocci
2173,tobramycin
2174,bear
2175,flank
2176,rigor
2177,agr
2178,pacu
2179,avf
2180,nab
2181,thoracentesi
2182,disloc
2183,tamsulosin
2184,gallston
2185,fatti
2186,sore
2187,endocrin
2188,sl
2189,sertralin
2190,unlabor
2191,strand
2192,sometim
2193,oxacillin
2194,orbit
2195,sharp
2196,paracentesi
2197,alreadi
2198,pan
2199,background
2200,ip
2201,hemorrhoid
2202,outpt
2203,scleral
2204,agent
2205,sacral
2206,oncologist
2207,prosthesi
2208,tracheal
2209,ma
2210,sheath
2211,ivdu
2212,demand
2213,nsaid
2214,cvicu
2215,leukocyt
2216,breakfast
2217,soon
2218,necrosi
2219,doubl
2220,uncertain
2221,necrot
2222,cross
2223,embolu
2224,nicotin
2225,rhinorrhea
2226,valsartan
2227,tachypn
2228,toilet
2229,pedal
2230,hard
2231,limb
2232,attenu
2233,influenza
2234,seek
2235,rll
2236,barbitr
2237,bnzodzp
2238,adenocarcinoma
2239,blockad
2240,prepar
2241,scoliosi
2242,rec
2243,aaa
2244,rue
2245,optim
2246,lll
2247,word
2248,bag
2249,wish
2250,dental
2251,poli
2252,vii
2253,decompress
2254,stimuli
2255,pmi
2256,triglyc
2257,cholang
2258,excis
2259,lvh
2260,migrain
2261,random
2262,anastomosi
2263,admiss
2264,spectrum
2265,mediastinum
2266,late
2267,zantac
2268,abil
2269,ring
2270,sm
2271,tox
2272,thereaft
2273,la
2274,coars
2275,wet
2276,probnp
2277,keflex
2278,nifedipin
2279,suffer
2280,sulfonamid
2281,pcwp
2282,strictur
2283,vehicl
2284,glaucoma
2285,wai
2286,reglan
2287,cri
2288,awar
2289,decadron
2290,heel
2291,kub
2292,troubl
2293,wwp
2294,reciev
2295,tonsillectomi
2296,iodin
2297,losartan
2298,ferritn
2299,nonspecif
2300,synephrin
2301,metal
2302,ileostomi
2303,levo
2304,ileu
2305,locul
2306,coupl
2307,incision
2308,pravastatin
2309,decompens
2310,clearanc
2311,alkalin
2312,milk
2313,celexa
2314,benadryl
2315,comprehens
2316,chemo
2317,mening
2318,angl
2319,legionella
2320,nodular
2321,wk
2322,ett
2323,dosag
2324,tx
2325,ruptur
2326,standpoint
2327,lue
2328,qt
2329,gave
2330,approv
2331,suppli
2332,rather
2333,cool
2334,pylori
2335,sulci
2336,swab
2337,collater
2338,substanc
2339,sah
2340,hepatosplenomegali
2341,lispro
2342,option
2343,phosphatas
2344,exposur
2345,igg
2346,viii
2347,zocor
2348,bundl
2349,object
2350,thyromegali
2351,combiv
2352,fingerstick
2353,basi
2354,tape
2355,extravas
2356,pmn
2357,incident
2358,seat
2359,habit
2360,incent
2361,concentr
2362,spars
2363,pericardium
2364,ih
2365,downgo
2366,cholelithiasi
2367,nadolol
2368,mostli
2369,beer
2370,sao
2371,select
2372,vasculatur
2373,antihypertens
2374,torsemid
2375,straw
2376,mssa
2377,advil
2378,instead
2379,orif
2380,unev
2381,nocturn
2382,adher
2383,numer
2384,tachi
2385,actual
2386,atraumat
2387,particularli
2388,ortho
2389,thrill
2390,ttp
2391,oil
2392,revis
2393,easili
2394,ambien
2395,fact
2396,fem
2397,rotat
2398,glucon
2399,milrinon
2400,cbd
2401,tap
2402,patholog
2403,card
2404,brown
2405,shortli
2406,loc
2407,piggyback
2408,mononitr
2409,fibrosi
2410,project
2411,tpa
2412,cardiomediastin
2413,enough
2414,bb
2415,sampl
2416,panel
2417,contamin
2418,acetmnp
2419,buttock
2420,gastroenterologi
2421,inh
2422,ot
2423,exud
2424,tachypnea
2425,upright
2426,pad
2427,cystic
2428,higher
2429,cat
2430,pole
2431,faxe
2432,suspicion
2433,transport
2434,calchct
2435,pursu
2436,fluoxetin
2437,amoxicillin
2438,miss
2439,quetiapin
2440,erythemat
2441,subacut
2442,electrophysiologi
2443,veri
2444,ramu
2445,plantar
2446,paranas
2447,sternum
2448,counter
2449,understand
2450,expiratori
2451,serologi
2452,ml
2453,ix
2454,arthralgia
2455,intox
2456,nephropathi
2457,turn
2458,colostomi
2459,solumedrol
2460,purul
2461,gastrostomi
2462,oxycontin
2463,burn
2464,ventral
2465,attach
2466,aphasia
2467,trigger
2468,reconstruct
2469,edg
2470,hyperdens
2471,radiologist
2472,memori
2473,cont
2474,directli
2475,urosepsi
2476,estgfr
2477,melanoma
2478,xanthoma
2479,saturdai
2480,acetmnphn
2481,ratio
2482,eom
2483,kyphosi
2484,trough
2485,oropharyng
2486,swan
2487,whole
2488,surfac
2489,asterixi
2490,explor
2491,slur
2492,featur
2493,lip
2494,said
2495,bronchial
2496,acet
2497,br
2498,brace
2499,coat
2500,extr
2501,colchicin
2502,separ
2503,sem
2504,ascorb
2505,conduct
2506,irrit
2507,repetit
2508,regul
2509,atn
2510,transamin
2511,decubitu
2512,lymphocyt
2513,vicodin
2514,aaox
2515,french
2516,stimul
2517,metastas
2518,intercost
2519,wit
2520,ondansetron
2521,travel
2522,guaifenesin
2523,implant
2524,machin
2525,foramen
2526,wake
2527,tomorrow
2528,watch
2529,f
2530,unstabl
2531,csru
2532,zolpidem
2533,lg
2534,strep
2535,linear
2536,pmhx
2537,bronchu
2538,great
2539,tacrolimu
2540,vre
2541,layer
2542,asd
2543,squamou
2544,respect
2545,fragment
2546,rose
2547,tidal
2548,skull
2549,metastasi
2550,steri
2551,pure
2552,twenti
2553,hypernatremia
2554,leni
2555,balanc
2556,osmol
2557,mucu
2558,border
2559,sx
2560,amp
2561,elbow
2562,dens
2563,vagin
2564,cut
2565,glycol
2566,ostial
2567,superimpos
2568,jaw
2569,carina
2570,effort
2571,augmentin
2572,push
2573,prompt
2574,pictur
2575,gaze
2576,flexion
2577,parkinson
2578,achiev
2579,cor
2580,atrophi
2581,neutrophil
2582,discret
2583,extract
2584,laminectomi
2585,hypovolemia
2586,viru
2587,anxiou
2588,incomplet
2589,angiograph
2590,allerg
2591,polymorphonuclear
2592,cortic
2593,fixe
2594,igm
2595,palp
2596,cpb
2597,contraind
2598,cuff
2599,dtr
2600,hydrocortison
2601,acei
2602,steril
2603,clamp
2604,crohn
2605,specialti
2606,analges
2607,maximum
2608,smr
2609,bruis
2610,error
2611,extent
2612,bl
2613,date
2614,parent
2615,rt
2616,ingest
2617,revascular
2618,voltag
2619,smaller
2620,presyncop
2621,wine
2622,lost
2623,homecar
2624,heterogen
2625,criteria
2626,bnp
2627,pseudoaneurysm
2628,substern
2629,hazi
2630,mrg
2631,await
2632,boni
2633,octreotid
2634,unasyn
2635,bicep
2636,pale
2637,psh
2638,hypercarb
2639,calhco
2640,ecchymosi
2641,nf
2642,ldl
2643,bend
2644,sentenc
2645,deceas
2646,diovan
2647,coagulopathi
2648,approx
2649,recheck
2650,morbid
2651,ketoacidosi
2652,lytic
2653,tire
2654,bal
2655,sevelam
2656,tiotropium
2657,olanzapin
2658,brisk
2659,supin
2660,cytologi
2661,child
2662,fair
2663,calib
2664,sq
2665,map
2666,palli
2667,sulfamethoxazol
2668,certifi
2669,standard
2670,lvot
2671,pair
2672,forearm
2673,ductal
2674,neurologist
2675,comminut
2676,program
2677,gastroparesi
2678,invers
2679,nephrectomi
2680,methicillin
2681,aerat
2682,often
2683,neurosurg
2684,goe
2685,hld
2686,larger
2687,cistern
2688,np
2689,massiv
2690,fine
2691,anyth
2692,omr
2693,intuba
2694,ex
2695,intrahepat
2696,et
2697,hcfa
2698,epileptiform
2699,hematochezia
2700,polyethylen
2701,eros
2702,sundai
2703,accompani
2704,typic
2705,flovent
2706,regularli
2707,seriou
2708,mvr
2709,coagulas
2710,epitheli
2711,ovarian
2712,phenylephrin
2713,normotens
2714,dextros
2715,tb
2716,supratherapeut
2717,sphenoid
2718,crp
2719,rn
2720,disabl
2721,cluster
2722,hemiparesi
2723,healthcar
2724,escherichia
2725,seri
2726,plasma
2727,mirtazapin
2728,accordingli
2729,adl
2730,fossa
2731,stat
2732,tm
2733,nephrostomi
2734,applic
2735,track
2736,splenomegali
2737,elong
2738,gc
2739,multifactori
2740,diazepam
2741,noxiou
2742,machineri
2743,unsuccess
2744,ntg
2745,forward
2746,euvolem
2747,session
2748,preren
2749,metoclopramid
2750,flomax
2751,effac
2752,burst
2753,lyt
2754,heroin
2755,predominantli
2756,scope
2757,cvl
2758,sludg
2759,mdi
2760,dispo
2761,distens
2762,max
2763,echocardiographi
2764,zoloft
2765,fibrino
2766,aldacton
2767,esr
2768,scalp
2769,squeez
2770,confront
2771,rapidli
2772,act
2773,ce
2774,compromis
2775,fev
2776,vocal
2777,shin
2778,visibl
2779,microcyt
2780,cardiogen
2781,macrocyt
2782,produc
2783,redo
2784,iabp
2785,lipid
2786,let
2787,morphologi
2788,avm
2789,lobectomi
2790,alwai
2791,lithium
2792,growe
2793,bcx
2794,remark
2795,benzodiazepin
2796,otc
2797,bump
2798,bathroom
2799,microorgan
2800,mibi
2801,pigtail
2802,tub
2803,infant
2804,cortisol
2805,aox
2806,atropin
2807,needl
2808,mthdone
2809,clearli
2810,rd
2811,target
2812,flight
2813,cerebrovascular
2814,suppress
2815,pneumon
2816,excel
2817,score
2818,uop
2819,defin
2820,malais
2821,yet
2822,ucx
2823,ldlcalc
2824,avl
2825,pf
2826,vena
2827,plug
2828,orthostat
2829,tomographi
2830,dulcolax
2831,worker
2832,fourth
2833,brachial
2834,lap
2835,thrombectomi
2836,warrant
2837,zinc
2838,ganglia
2839,format
2840,proce
2841,epicardi
2842,uptitr
2843,zyprexa
2844,hallucin
2845,peri
2846,ooz
2847,itch
2848,trapeziu
2849,compazin
2850,ptx
2851,twi
2852,sucralf
2853,strong
2854,indetermin
2855,tc
2856,hsv
2857,reintub
2858,baclofen
2859,adenoma
2860,consent
2861,ngtd
2862,thoracotomi
2863,anterolater
2864,xanthalesma
2865,celiac
2866,cea
2867,fascicul
2868,sphincterotomi
2869,approach
2870,hardwar
2871,minor
2872,sternocleidomastoid
2873,adenopathi
2874,suscept
2875,bifurc
2876,maleat
2877,nephrologi
2878,en
2879,bronch
2880,nephrocap
2881,damag
2882,abras
2883,almost
2884,unfortun
2885,svt
2886,enalapril
2887,tell
2888,tazo
2889,vitb
2890,subsegment
2891,cyanocobalamin
2892,context
2893,divis
2894,weekend
2895,pft
2896,washout
2897,posteriorli
2898,pu
2899,barium
2900,neglect
2901,habitu
2902,cypher
2903,far
2904,drowsi
2905,bare
2906,nh
2907,hemolysi
2908,uncompl
2909,duplex
2910,empti
2911,ecchymos
2912,midclavicular
2913,bradycard
2914,pet
2915,abdomini
2916,tripl
2917,ama
2918,flash
2919,supraclavicular
2920,sleepi
2921,psychiatrist
2922,cerebrospin
2923,widow
2924,spasm
2925,tbili
2926,firm
2927,con
2928,aeruginosa
2929,nitrogen
2930,jet
2931,cellcept
2932,echogen
2933,hemidiaphragm
2934,orthopaed
2935,proxi
2936,fish
2937,cortsol
2938,prefer
2939,widen
2940,fresh
2941,wdwn
2942,lnc
2943,zestril
2944,conserv
2945,multi
2946,rifaximin
2947,flexibl
2948,unusu
2949,perman
2950,tetracyclin
2951,obscur
2952,nephrolithiasi
2953,fecal
2954,ligat
2955,ye
2956,rememb
2957,endarterectomi
2958,vers
2959,malform
2960,thrush
2961,paraphas
2962,toxicologi
2963,power
2964,newli
2965,splenectomi
2966,sclerosi
2967,phase
2968,epogen
2969,nectar
2970,angio
2971,sulbactam
2972,cnii
2973,closer
2974,piv
2975,hemoglobin
2976,inotrop
2977,levoxyl
2978,periop
2979,instabl
2980,calcul
2981,telephon
2982,irregularli
2983,rifampin
2984,mo
2985,tree
2986,subtl
2987,accept
2988,stem
2989,salt
2990,behavior
2991,irrig
2992,pta
2993,vertigo
2994,ai
2995,subcort
2996,afterward
2997,pen
2998,magnesia
2999,ethmoid
